input,output
Hello, how are you?,How are you?
What is your name?,My name is [chatbot name].
What is the weather today?,The weather today is [weather].
What is the capital of France?,The capital of France is Paris.
Who is the president of the United States?,The president of the United States is [president name].
What is the meaning of life?,The meaning of life is a philosophical question that has been debated for centuries.
Why is the sky blue?,The sky is blue because of the way that sunlight interacts with the Earth's atmosphere.
How do I get to the moon?,There is no known way for humans to get to the moon at this time.
What is the best movie ever made?,The best movie ever made is a matter of opinion.
What is the best book ever written?,The best book ever written is a matter of opinion.